Symbol,Coin,Price,1h,24h,7d,30d,24h Volume,Circulating Supply,Total Supply,Mkt Cap
CRO,Cronos,$0.051776,-0.3%,-4.7%,-10.0%,-12.9%,"$9,187,403","26,219,604,977",30 Billion,"$1,357,880,430"
ARB,Arbitrum,$1.00,0.3%,-4.3%,-13.6%,-20.8%,"$282,543,548","1,275,000,000",10 Billion,"$1,276,003,353"
APT,Aptos,$5.63,-0.9%,-10.0%,-20.6%,-26.6%,"$135,821,090","225,856,631",1.05 Billion,"$1,273,353,437"
VET,VeChain,$0.01581140,-0.5%,-7.0%,-12.7%,-17.9%,"$61,680,802","72,714,516,834",86 Billion,"$1,148,340,720"
NEAR,NEAR Protocol,$1.12,0.3%,-7.5%,-16.0%,-25.5%,"$102,230,118","941,671,518",1 Billion,"$1,055,099,307"
OP,Optimism,$1.36,-1.0%,-4.7%,-14.4%,-7.2%,"$182,625,862","716,708,907",4.29 Billion,"$975,387,707"
MKR,Maker,"$1,065.63",-0.1%,-5.8%,-15.0%,10.8%,"$135,143,821","901,311",978 Thousand,"$958,493,457"
RETH,Rocket Pool ETH,"$1,849.82",0.6%,-5.4%,-8.1%,-10.2%,"$24,734,636","498,911",499 Thousand,"$922,003,956"
GRT,The Graph,$0.089741,0.4%,-9.0%,-16.0%,-23.4%,"$57,434,603","9,129,993,477",10 Billion,"$817,093,102"
AAVE,Aave,$56.31,0.4%,-6.5%,-15.4%,-22.9%,"$105,495,286","14,519,975",16 Million,"$816,006,516"
FRAX,Frax,$0.999161,-0.1%,-0.2%,0.1%,-0.1%,"$23,293,093","806,724,883",807 Million,"$806,551,409"
WBT,WhiteBIT Coin,$5.51,-0.1%,-2.4%,-0.6%,-0.1%,"$12,469,222","144,118,517",369 Million,"$793,894,215"
XDC,XDC Network,$0.056436,2.6%,-7.0%,-15.1%,62.7%,"$10,214,514","13,856,904,161",37.9 Billion,"$779,470,094"
KAS,Kaspa,$0.03771993,0.1%,-3.3%,-11.7%,11.7%,"$12,412,742","20,205,781,458",20.2 Billion,"$763,191,357"
ALGO,Algorand,$0.093485,0.0%,-9.2%,-17.2%,-19.1%,"$62,820,744","7,827,178,217",7.83 Billion,"$730,678,516"
EGLD,MultiversX,$27.03,0.1%,-6.1%,-11.4%,-25.8%,"$19,976,064","25,846,866",25.9 Million,"$697,223,018"
SAND,The Sandbox,$0.326696,0.1%,-8.6%,-18.9%,-26.9%,"$94,770,237","2,057,931,926",3 Billion,"$670,188,149"
SNX,Synthetix Network,$2.08,-0.4%,-10.8%,-19.5%,-24.4%,"$44,180,837","322,131,898",323 Million,"$669,864,700"
STX,Stacks,$0.474119,0.6%,-8.7%,-18.7%,-26.1%,"$26,203,474","1,399,197,485",1.82 Billion,"$662,048,702"
FLEX,FLEX Coin,$6.82,-2.0%,9.6%,-7.3%,66.0%,"$289,298","98,664,939",98.7 Million,"$661,594,085"
IMX,ImmutableX,$0.588380,-0.2%,-6.9%,-17.8%,-20.9%,"$26,256,800","1,123,390,887",2 Billion,"$658,225,649"
XTZ,Tezos,$0.691621,0.1%,-5.9%,-12.5%,-17.0%,"$24,134,453","941,114,001",∞,"$650,740,800"
AXS,Axie Infinity,$4.89,0.7%,-8.0%,-17.9%,-23.2%,"$57,418,021","131,031,753",270 Million,"$639,709,775"
EOS,EOS,$0.571942,-0.6%,-10.4%,-20.3%,-25.8%,"$159,124,433","1,116,993,833",∞,"$638,232,225"
THETA,Theta Network,$0.626136,0.1%,-7.7%,-15.6%,-19.0%,"$21,855,542","1,000,000,000",1 Billion,"$624,574,925"
BGB,Bitget Token,$0.431047,0.7%,-3.7%,-6.1%,-8.2%,"$14,827,101","1,400,001,000",2 Billion,"$603,663,061"
INJ,Injective,$7.11,0.7%,-0.0%,-7.5%,-21.8%,"$68,938,555","83,755,556",100 Million,"$593,924,722"
APE,ApeCoin,$1.54,0.5%,-12.2%,-17.8%,-28.3%,"$193,712,120","368,593,750",1 Billion,"$565,066,366"
MANA,Decentraland,$0.301915,0.7%,-8.7%,-17.9%,-25.9%,"$71,141,865","1,842,079,955",2.19 Billion,"$555,694,822"
BSV,Bitcoin SV,$28.65,-0.0%,-8.2%,-20.0%,-22.7%,"$38,742,745","19,266,077",21 Million,"$548,340,349"
FTM,Fantom,$0.194240,-0.4%,-10.1%,-19.2%,-25.8%,"$107,817,559","2,802,314,015",3.18 Billion,"$543,482,108"
XRD,Radix,$0.052535,-0.1%,-6.6%,-0.7%,-12.2%,"$2,314,472","10,235,602,216",12.6 Billion,"$538,201,285"
GT,Gate,$3.90,-0.4%,-3.8%,-4.4%,-8.3%,"$972,395","137,367,574",300 Million,"$536,089,983"
RNDR,Render,$1.44,-0.5%,-8.5%,-15.9%,-24.7%,"$40,238,383","371,908,453",531 Million,"$534,555,071"
RLB,Rollbit Coin,$0.160791,2.4%,6.2%,-13.6%,34.4%,"$21,072,243","3,296,951,622",3.3 Billion,"$529,863,068"
RPL,Rocket Pool,$25.76,-1.4%,-5.6%,-9.5%,-24.3%,"$5,037,337","19,620,795",19.6 Million,"$504,807,167"
KAVA,Kava,$0.708319,0.3%,-4.1%,-14.9%,-21.8%,"$36,812,941","701,475,540",701 Million,"$500,537,605"
NEO,NEO,$6.93,-0.0%,-10.2%,-18.3%,-23.6%,"$38,552,293","70,530,000",100 Million,"$487,110,248"
GALA,GALA,$0.01906024,-0.6%,-8.5%,-16.5%,-29.3%,"$644,806,250","25,406,986,080",25.4 Billion,"$484,257,729"
CETH,cETH,$33.94,-0.1%,-6.0%,-8.8%,-11.6%,"$3,601","14,024,980",14 Million,"$476,057,243"
PAXG,PAX Gold,"$1,893.26",0.0%,0.0%,-1.3%,-2.5%,"$15,805,684","248,754",249 Thousand,"$470,998,669"
KCS,KuCoin,$4.84,-0.2%,-8.4%,-13.2%,-21.2%,"$3,302,736","96,732,986",144 Million,"$468,549,118"
XAUT,Tether Gold,"$1,897.10",0.1%,0.0%,-1.2%,-4.2%,"$13,316,072","246,524",247 Thousand,"$467,249,226"
FLOW,Flow,$0.448727,0.0%,-8.7%,-19.7%,-31.7%,"$17,771,805","1,036,200,000",1.45 Billion,"$464,082,181"
XEC,eCash,$0.00002337,-0.3%,-8.5%,-19.7%,-26.5%,"$6,442,131","19,473,142,173,093",21 Trillion,"$454,658,372"
PEPE,Pepe,$0.00000108,-0.2%,-9.4%,-13.0%,-30.5%,"$161,109,850","420,690,000,000,000",421 Trillion,"$453,416,295"
KLAY,Klaytn,$0.139779,0.1%,-4.6%,-10.5%,-20.0%,"$13,574,538","3,194,641,024",∞,"$446,561,831"
CHZ,Chiliz,$0.063726,0.2%,-6.4%,-15.5%,-20.8%,"$62,822,367","6,975,647,158",8.89 Billion,"$444,529,187"
RUNE,THORChain,$1.47,-0.3%,0.7%,39.3%,47.3%,"$39,354,738","300,700,561",500 Million,"$444,396,940"
FXS,Frax Share,$5.95,0.3%,-6.6%,-2.5%,-4.3%,"$46,262,434","72,836,835",99.7 Million,"$428,567,697"
CRV,Curve DAO,$0.500627,0.3%,-8.2%,-17.8%,-36.7%,"$109,359,369","853,205,677",2 Billion,"$425,817,259"
FRXETH,Frax Ether,"$1,689.16",-0.1%,-6.0%,-8.7%,-11.5%,"$7,652,524","251,614",252 Thousand,"$424,798,934"
BTT,BitTorrent,$0.000000428152,-0.1%,-3.7%,-7.9%,-10.4%,"$21,797,701","951,421,714,286,000",990 Trillion,"$407,247,775"
TKX,Tokenize Xchange,$5.04,1.3%,-6.8%,-12.1%,-15.9%,"$7,389,734","79,996,000",100 Million,"$403,394,648"
CSPR,Casper Network,$0.03566348,-0.7%,-2.9%,-7.2%,-2.0%,"$5,872,279","11,254,088,317",11.9 Billion,"$401,123,136"
MIOTA,IOTA,$0.144589,-0.2%,-7.5%,-15.8%,-22.4%,"$9,014,123","2,779,530,283",2.78 Billion,"$400,828,125"
HT,Huobi,$2.40,0.0%,-3.9%,-7.6%,-12.1%,"$6,253,717","159,406,077",201 Million,"$383,157,122"
MINA,Mina Protocol,$0.401213,-0.2%,-8.2%,-13.1%,-13.3%,"$14,018,640","952,668,326",1.06 Billion,"$382,268,328"
LUNC,Terra Luna Classic,$0.00006225,0.8%,-7.1%,-19.9%,-30.2%,"$39,866,354","5,816,094,495,489",6.84 Trillion,"$358,775,625"
TWT,Trust Wallet,$0.852518,0.3%,-1.1%,-5.9%,1.5%,"$10,643,563","416,649,900",1 Billion,"$355,393,799"
SUI,Sui,$0.474141,0.6%,-10.3%,-22.2%,-37.5%,"$109,291,401","723,162,190",10 Billion,"$341,930,520"
DYDX,dYdX,$1.92,0.8%,-4.5%,-12.2%,-6.7%,"$72,582,472","173,021,148",1 Billion,"$332,335,510"
NEXO,NEXO,$0.588424,-1.5%,-7.8%,-9.2%,-7.2%,"$4,167,735","560,000,010",1 Billion,"$330,340,002"
GMX,GMX,$36.82,1.2%,-7.6%,-20.8%,-33.9%,"$39,306,272","8,954,938",8.95 Million,"$328,255,919"
NXM,Nexus Mutual,$48.25,,-5.7%,-8.3%,-10.2%,"$13,063","6,759,101",6.76 Million,"$326,138,806"
AR,Arweave,$4.78,-0.3%,-2.9%,-4.4%,-17.2%,"$15,309,195","65,454,186",65.5 Million,"$315,923,753"
NFT,APENFT,$0.000000308745,-0.4%,-1.5%,-5.6%,-10.1%,"$17,228,126","990,105,683,025,577",1 Quadrillion,"$305,542,536"
DASH,Dash,$26.15,0.4%,-8.5%,-19.4%,-19.8%,"$48,667,975","11,412,951",18.9 Million,"$297,255,170"
SFRXETH,Staked Frax Ether,"$1,780.35",0.2%,-5.9%,-8.6%,-11.2%,"$192,647","164,365",164 Thousand,"$292,594,221"
SEI,Sei,$0.158292,-4.4%,-25.5%,,,"$474,299,786","1,800,000,000",10 Billion,"$290,847,171"
CAKE,PancakeSwap,$1.34,-0.5%,-5.5%,-9.4%,-12.2%,"$33,587,141","214,741,593",391 Million,"$286,745,376"
FLR,Flare,$0.01253337,-0.6%,-8.2%,-18.4%,-8.3%,"$11,008,843","22,658,991,684",101 Billion,"$283,039,889"
COMP,Compound,$41.48,1.2%,-11.8%,-25.2%,-42.1%,"$81,504,397","6,856,086",10 Million,"$282,220,098"
WOO,WOO Network,$0.161780,0.0%,-6.3%,-14.2%,-25.2%,"$15,693,354","1,733,693,919",2.25 Billion,"$280,037,715"
ZIL,Zilliqa,$0.01648189,-0.4%,-7.7%,-17.7%,-24.9%,"$26,055,462","16,882,828,637",17.9 Billion,"$277,728,211"
CFX,Conflux,$0.131678,-1.8%,-17.4%,-25.7%,-29.2%,"$58,330,227","2,097,547,687",5.28 Billion,"$275,145,763"
OSMO,Osmosis,$0.448645,1.5%,5.1%,-1.3%,-13.0%,"$74,359,498","611,121,413",325 Million,"$274,840,927"
MX,MX,$2.63,-1.2%,-2.9%,-6.7%,-5.7%,"$786,559","100,709,834",434 Million,"$264,929,992"
GNO,Gnosis,$101.49,0.1%,-4.9%,-8.9%,-14.2%,"$1,716,271","2,589,589",3 Million,"$262,544,540"
AKT,Akash Network,$1.21,1.7%,-0.6%,17.0%,117.8%,"$3,704,237","217,045,115",217 Million,"$261,737,884"
OX,Open Exchange Token,$0.068802,-0.7%,11.7%,-6.4%,68.1%,"$5,067,381","3,791,408,188",3.79 Billion,"$260,656,210"
HBTC,Huobi BTC,"$26,575.62",-,-,-,-,-,"8,969",8.97 Thousand,"$238,369,937"
BONE,Bone ShibaSwap,$1.13,0.4%,-10.2%,-30.7%,-8.4%,"$20,940,786","229,922,965",230 Million,"$259,205,755"
ILV,Illuvium,$45.38,-0.4%,-7.2%,-8.1%,11.0%,"$11,485,227","5,677,011",9.62 Million,"$257,324,344"
HNT,Helium,$1.78,0.5%,-4.0%,-10.6%,12.2%,"$2,307,353","143,934,821",223 Million,"$256,048,798"
BAT,Basic Attention,$0.168119,0.4%,-9.7%,-24.3%,-16.4%,"$23,275,451","1,489,950,992",1.5 Billion,"$249,835,588"
ASTR,Astar,$0.053297,1.3%,-2.9%,-3.1%,24.0%,"$30,220,709","4,709,200,882",8.09 Billion,"$249,546,352"
OKT,OKT Chain,$13.62,-1.2%,-5.7%,-11.3%,-7.9%,"$1,055,780","17,847,480",17.8 Million,"$243,093,099"
1INCH,1inch,$0.235247,-1.0%,-11.2%,-23.7%,-34.8%,"$36,293,573","1,029,312,110",1.5 Billion,"$241,658,863"
ENJ,Enjin Coin,$0.240770,0.4%,-8.7%,-17.1%,-23.4%,"$24,555,164","1,000,000,000",1 Billion,"$240,231,211"
XCH,Chia,$29.25,-0.2%,-3.3%,-6.1%,-14.2%,"$8,410,373","8,205,607",29.2 Million,"$239,343,569"
BTG,Bitcoin Gold,$13.45,-1.1%,-5.6%,-12.4%,-6.7%,"$8,384,748","17,513,924",21 Million,"$235,199,822"
ELG,Escoin,$2.75,0.1%,-3.2%,-2.4%,-4.6%,"$455,100",0,250 Million,"$168,540,402"
LRC,Loopring,$0.183198,-0.0%,-9.3%,-17.5%,-20.8%,"$23,119,786","1,245,991,469",1.37 Billion,"$228,132,211"
EURT,Euro Tether,$1.09,0.1%,0.2%,-1.1%,-3.1%,"$5,285,460","205,998,830",400 Million,"$224,817,833"
CVX,Convex Finance,$2.82,0.1%,-8.6%,-13.7%,-27.7%,"$11,458,123","79,767,506",98.8 Million,"$223,806,518"
QTUM,Qtum,$2.10,-0.5%,-9.7%,-20.0%,-23.1%,"$28,363,944","104,784,742",108 Million,"$219,803,041"
XEM,NEM,$0.02434486,0.1%,-7.3%,-18.7%,-17.2%,"$6,870,700","8,999,999,999",9 Billion,"$219,154,982"
MASK,Mask Network,$2.62,0.0%,-13.3%,-25.0%,-29.8%,"$64,050,926","82,112,500",100 Million,"$214,201,294"
CELO,Celo,$0.418481,-0.1%,-8.5%,-17.6%,-19.7%,"$10,930,415","508,448,178",1 Billion,"$212,306,328"
AGIX,SingularityNET,$0.172400,-0.3%,-11.6%,-18.2%,-27.9%,"$34,548,657","1,227,214,306",1.31 Billion,"$210,748,636"
ROSE,Oasis Network,$0.04121312,0.3%,-4.0%,-12.5%,-18.4%,"$23,718,219","5,029,357,184",10 Billion,"$207,263,788"
ENS,Ethereum Name Service,$8.01,-0.3%,-3.5%,-12.6%,-19.5%,"$15,653,133","25,783,233",100 Million,"$206,566,983"
ZEC,Zcash,$24.72,0.3%,-7.9%,-16.0%,-21.6%,"$26,217,499","8,272,302",21 Million,"$203,946,866"
OMI,ECOMI,$0.00075270,-0.6%,-2.9%,7.1%,27.6%,"$1,172,127","270,771,162,401",311 Billion,"$203,684,441"
TFUEL,Theta Fuel,$0.03246308,0.1%,-8.8%,-19.3%,-18.2%,"$3,062,541","6,248,223,228",6.25 Billion,"$202,584,870"
AZERO,Aleph Zero,$0.847172,-0.1%,2.7%,-7.8%,-6.1%,"$1,055,523","238,184,130",339 Million,"$201,761,008"
CDAI,cDAI,$0.02241047,0.1%,0.4%,0.3%,0.4%,"$14,102","8,926,342,526",8.93 Billion,"$200,043,498"
DCR,Decred,$12.85,0.2%,-4.7%,-12.7%,-12.6%,"$616,138","15,418,839",21 Million,"$198,205,615"
FET,Fetch.ai,$0.187691,0.0%,-5.2%,-6.8%,-18.2%,"$53,368,884","1,043,462,805",1.15 Billion,"$194,797,752"
BDX,Beldex,$0.03479088,-0.2%,-2.5%,-5.2%,-19.6%,"$3,075,629","5,582,602,191",9.92 Billion,"$194,253,549"
HOT,Holo,$0.00109379,1.0%,-7.4%,-15.8%,-18.3%,"$12,634,508","177,619,433,541",178 Billion,"$193,937,802"
ANKR,Ankr Network,$0.01936786,0.8%,-9.4%,-20.2%,-22.9%,"$22,960,354","10,000,000,000",10 Billion,"$192,334,937"
OHM,Olympus,$10.67,0.5%,-0.1%,0.1%,0.2%,"$1,607,106","17,925,023",26.6 Million,"$192,301,303"
RVN,Ravencoin,$0.01570590,-0.0%,-6.7%,-12.3%,-18.9%,"$6,398,114","11,907,968,089",11.9 Billion,"$186,555,386"
UNIBOT,Unibot,$186.30,1.5%,4.1%,0.8%,171.2%,"$11,697,503","1,000,000",1 Million,"$186,370,961"
KSM,Kusama,$20.80,0.1%,-6.4%,-8.7%,-14.9%,"$19,472,355","8,980,098",10 Million,"$186,373,657"
LPT,Livepeer,$6.37,-0.9%,-3.5%,33.1%,51.5%,"$57,537,998","28,733,303",28.7 Million,"$183,577,389"
RBN,Ribbon Finance,$0.236024,-0.2%,-1.1%,5.8%,23.0%,"$364,618","768,243,592",1 Billion,"$181,542,270"
DFI,DeFiChain,$0.244507,0.3%,-6.0%,-13.2%,-26.6%,"$4,593,734","737,229,035",1.2 Billion,"$180,297,985"
FLOKI,FLOKI,$0.00001813,-0.9%,-14.6%,-18.8%,-25.0%,"$20,166,471","9,944,737,703,288",10 Trillion,"$179,910,540"
GFARM2,Gains Farm,"$4,509.62",-,-,-,-,-,"35,834",35.8 Thousand,"$161,597,113"
YFI,yearn.finance,"$5,429.78",0.3%,-5.1%,-14.5%,-21.9%,"$33,404,777","33,044",36.7 Thousand,"$179,012,572"
JST,JUST,$0.01997609,-0.1%,-4.6%,-12.1%,-14.0%,"$21,791,271","8,902,080,000",9.9 Billion,"$177,787,417"
GMT,STEPN,$0.162076,0.6%,-10.0%,-20.6%,-33.4%,"$40,220,192","1,096,247,740",5.44 Billion,"$176,888,960"
BLUR,Blur,$0.208342,1.8%,-16.4%,-26.9%,-37.6%,"$43,823,137","851,679,137",3 Billion,"$175,695,980"
ANT,Aragon,$4.35,1.0%,2.5%,-3.6%,6.7%,"$23,878,061","40,030,814",43.2 Million,"$173,613,167"
BITCOIN,HarryPotterObamaSonic10Inu (ETH),$0.167251,-5.8%,5.3%,61.1%,167.0%,"$16,049,070","999,798,155",1 Billion,"$173,044,343"
WEMIX,WEMIX,$0.540467,-0.4%,-9.7%,-14.0%,-18.5%,"$3,655,601","313,542,709",971 Million,"$169,439,530"
WLD,Worldcoin,$1.36,0.9%,-10.9%,-18.9%,,"$61,402,113","126,395,189",10 Billion,"$169,225,753"
SFP,SafePal,$0.456863,0.1%,-1.0%,1.3%,1.9%,"$13,049,992","369,791,669",500 Million,"$168,591,906"
AUDIO,Audius,$0.152611,-0.3%,-10.7%,-19.0%,-19.8%,"$15,746,544","1,106,620,023",1.18 Billion,"$167,951,257"
FNSA,FINSCHIA,$23.78,0.6%,-5.9%,-13.7%,-24.1%,"$894,800","7,079,772",7.08 Million,"$167,073,490"
GLM,Golem,$0.167027,0.1%,-6.8%,-26.3%,-17.2%,"$5,612,369","1,000,000,000",1 Billion,"$166,913,078"
BTSE,BTSE Token,$1.02,1.7%,-7.2%,-7.2%,-7.2%,"$19,307","162,061,501",200 Million,"$165,798,488"
BABYDOGE,Baby Doge Coin,$0.000000001062,1.7%,-4.0%,-9.4%,-15.0%,"$1,209,047","156,124,856,092,293,492",420 Quadrillion,"$164,680,083"
ICX,ICON,$0.168677,-0.5%,-8.3%,-20.1%,-28.0%,"$4,445,746","965,117,071",976 Million,"$162,580,951"
TOMI,tomiNet,$2.16,4.4%,12.0%,-29.2%,-44.3%,"$21,627,348","74,560,384",116 Million,"$160,371,569"
JASMY,JasmyCoin,$0.00328471,0.3%,-7.8%,-16.6%,-16.6%,"$38,924,409","48,419,999,999",50 Billion,"$158,546,217"
BAL,Balancer,$3.72,-0.2%,-6.9%,-11.8%,-21.6%,"$8,511,389","42,633,413",58.6 Million,"$158,111,868"
RON,Ronin,$0.613084,-1.0%,-1.9%,-12.2%,-13.1%,"$4,675,286","245,256,981",1 Billion,"$150,271,244"
LUNA,Terra,$0.428728,0.6%,-10.9%,-23.8%,-32.9%,"$48,047,579","350,718,721",1.08 Billion,"$149,732,824"
ETHW,EthereumPoW,$1.39,0.2%,-9.8%,-17.5%,-25.9%,"$5,419,372","107,818,943",108 Million,"$149,277,408"
QTCON,Quiztok,$0.02331872,-0.5%,46.2%,434.9%,609.6%,"$141,323,089","6,331,548,893",12 Billion,"$146,841,557"
WAVES,Waves,$1.47,-0.5%,-11.2%,-24.3%,-25.5%,"$47,449,707","100,000,000",100 Million,"$146,116,156"
SXP,SXP,$0.253428,0.3%,-11.2%,-23.2%,-31.4%,"$19,350,648","574,663,920",575 Million,"$144,845,258"
DAO,DAO Maker,$0.760541,0.2%,-1.6%,-7.7%,-6.9%,"$1,030,914","189,748,000",278 Million,"$144,230,799"
GLMR,Moonbeam,$0.200167,0.1%,-2.8%,-14.8%,-16.7%,"$3,813,107","712,694,763",1.08 Billion,"$142,957,952"
ONT,Ontology,$0.160399,0.4%,-10.0%,-14.7%,-20.0%,"$11,873,004","891,582,857",1 Billion,"$142,170,692"
MSOL,Marinade staked SOL,$24.65,-0.3%,-6.0%,-11.8%,-16.8%,"$3,808,466","5,718,881",5.72 Million,"$140,961,589"
SC,Siacoin,$0.00277435,-0.0%,-5.7%,-21.1%,-18.1%,"$4,560,531","51,477,015,000",-,"$140,645,393"
SETH2,sETH2,"$1,679.11",-0.7%,-6.0%,-9.3%,-11.5%,"$28,636","83,334",83.3 Thousand,"$139,838,398"
TOMO,TomoChain,$1.43,-1.0%,0.8%,4.5%,16.1%,"$27,106,291","96,834,611",100 Million,"$139,240,013"
AXL,Axelar,$0.379923,1.5%,1.0%,-2.5%,6.1%,"$12,221,449","365,515,789",1.09 Billion,"$138,750,606"
KRD,Krypton DAO,$1.35,3.6%,2.1%,-0.2%,-2.6%,"$2,887","102,457,125",10 Billion,"$138,226,995"
EURS,STASIS EURO,$1.09,0.0%,0.3%,-1.1%,-2.8%,"$8,066,220","124,125,940",124 Million,"$135,175,209"
WAXP,WAX,$0.04022395,0.2%,-7.5%,-18.6%,-22.9%,"$1,553,399","3,340,221,345",3.77 Billion,"$134,250,654"
MAGIC,Magic,$0.598002,-0.4%,-10.8%,-21.4%,-24.1%,"$27,144,909","222,569,763",340 Million,"$132,965,437"
IOST,IOST,$0.00707858,0.0%,-7.8%,-16.9%,-21.0%,"$7,685,136","18,708,894,189",18.7 Billion,"$131,687,810"
IOTX,IoTeX,$0.01396740,-1.0%,-13.1%,-17.7%,-30.8%,"$10,087,250","9,445,158,642",9.5 Billion,"$131,528,507"
BICO,Biconomy,$0.210826,-0.7%,-6.8%,-12.6%,-12.1%,"$3,138,644","624,610,465",1 Billion,"$131,438,046"
CHSB,SwissBorg,$0.137820,-0.5%,-6.8%,2.8%,-3.8%,"$6,932,226","951,754,603",1 Billion,"$131,139,174"
BAND,Band Protocol,$0.984842,-0.7%,-5.8%,-17.0%,-19.1%,"$11,470,756","133,064,694",137 Million,"$130,414,276"
OCEAN,Ocean Protocol,$0.295629,0.7%,-6.7%,-14.2%,-25.5%,"$21,657,288","434,026,837",1.41 Billion,"$127,808,390"
TRIBE,Tribe,$0.274783,0.5%,-3.7%,-7.8%,-0.6%,"$22,727","455,015,531",1 Billion,"$127,596,196"
ELF,aelf,$0.274077,-0.3%,-9.0%,-6.1%,-3.4%,"$7,051,279","461,329,999",880 Million,"$126,465,010"
GLR,GalleryCoin,$0.523741,-0.2%,1.2%,14.0%,43.4%,"$105,931","240,913,990",2 Billion,"$126,084,323"
